sample,pct_missing,miss_flag,mahal_dist,pca_flag,sample_median,mad_deviation,mad_flag,n_flags,consensus_outlier
S20D_T1,17.88263283108644,FALSE,1.801384053477196,FALSE,21.310080747460507,0.4374051157864294,FALSE,0,FALSE
S20D_T2,11.578112609040444,FALSE,0.8119896700499734,FALSE,21.10149421196414,0.22881858029006352,FALSE,0,FALSE
S20E_T1,9.674861221252975,FALSE,0.429664263625079,FALSE,20.99851539306396,0.12583976138988362,FALSE,0,FALSE
S20E_T2,13.402061855670103,FALSE,1.9619075265990904,FALSE,21.29894019415672,0.42626456248264333,FALSE,0,FALSE
S21D_T1,22.60111022997621,FALSE,6.9089478377799605,FALSE,21.78556323562111,0.9128876039470342,TRUE,1,FALSE
S21D_T2,11.141950832672483,FALSE,0.613790818118994,FALSE,21.088612926418058,0.2159372947439806,FALSE,0,FALSE
S21E_T1,18.43774781919112,FALSE,4.066200805687967,FALSE,21.540378285014388,0.6677026533403101,FALSE,0,FALSE
S21E_T2,21.96669310071372,FALSE,6.848307413699581,FALSE,21.609640925278942,0.7369652936048645,FALSE,0,FALSE
S23D_T1,14.15543219666931,FALSE,2.8977347478682187,FALSE,21.353802108326168,0.48112647665208996,FALSE,0,FALSE
S23D_T2,6.145915939730372,FALSE,0.8988920841597313,FALSE,20.747144817899606,0.12553081377447128,FALSE,0,FALSE
S23E_T1,6.740681998413957,FALSE,2.3522577406853498,FALSE,20.88017016432772,0.007494532653641528,FALSE,0,FALSE
S23E_T2,7.0975416336241075,FALSE,5.951288325028401,FALSE,21.1142615023887,0.24158587071462279,FALSE,0,FALSE
S24D_T1,8.485329103885805,FALSE,0.21144663013119788,FALSE,20.876422898000897,0.0037472663268189876,FALSE,0,FALSE
S24D_T2,4.9167327517842985,FALSE,0.27663187649573995,FALSE,20.722341441113702,0.15033419056037545,FALSE,0,FALSE
S24E_T1,2.141157811260904,FALSE,1.4905056242579975,FALSE,20.688592669497087,0.1840829621769906,FALSE,0,FALSE
S24E_T2,8.16812053925456,FALSE,0.22000410698452727,FALSE,20.89133469926805,0.018659067593972622,FALSE,0,FALSE
