"uniprot_id","protein","gene","description","n_seq","n_pro_seq","is_crap","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","flag_source"
"P08779","K1C16_HUMAN","KRT16","Keratin, type I cytoskeletal 16",2,2,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P09105","HBAT_HUMAN","HBQ1","Hemoglobin subunit theta-1",6,6,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P0C0L4","CO4A_HUMAN","C4A","Complement C4-A",3,3,FALSE,"C4A","ENSG00000244731",TRUE,TRUE,"Blood blacklist"
"P0C0L5","CO4B_HUMAN","C4B","Complement C4-B",63,2,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P0DJI8","SAA1_HUMAN","SAA1","Serum amyloid A-1 protein",1,1,FALSE,"SAA1","ENSG00000173432",TRUE,TRUE,"Blood blacklist"
"P0DOY2","IGLC2_HUMAN","IGLC2","Immunoglobulin lambda constant 2",2,0,FALSE,"IGLC2","ENSG00000211677",TRUE,TRUE,"Blood blacklist"
"P10643","CO7_HUMAN","C7","Complement component C7",12,12,FALSE,"C7","ENSG00000112936",TRUE,TRUE,"Blood blacklist"
"P10909","CLUS_HUMAN","CLU","Clusterin",11,11,FALSE,"CLU","ENSG00000120885",TRUE,TRUE,"Blood blacklist"
"P13645","K1C10_HUMAN","KRT10","Keratin, type I cytoskeletal 10",19,0,TRUE,"KRT10","ENSG00000186395",TRUE,TRUE,"Blood blacklist"
"P13646","K1C13_HUMAN","KRT13","Keratin, type I cytoskeletal 13",3,2,FALSE,"KRT13","ENSG00000171401",TRUE,TRUE,"Blood blacklist"
"P13647","K2C5_HUMAN","KRT5","Keratin, type II cytoskeletal 5",6,2,FALSE,"KRT5","ENSG00000186081",TRUE,TRUE,"Blood blacklist"
"P13671","CO6_HUMAN","C6","Complement component C6",11,11,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P19652","A1AG2_HUMAN","ORM2","Alpha-1-acid glycoprotein 2",10,7,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P19823","ITIH2_HUMAN","ITIH2","Inter-alpha-trypsin inhibitor heavy chain H2",18,18,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P19827","ITIH1_HUMAN","ITIH1","Inter-alpha-trypsin inhibitor heavy chain H1",17,17,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P20851","C4BPB_HUMAN","C4BPB","C4b-binding protein beta chain",2,2,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P23083","HV102_HUMAN","IGHV1-2","Immunoglobulin heavy variable 1-2",2,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P35527","K1C9_HUMAN","KRT9","Keratin, type I cytoskeletal 9",17,0,TRUE,NA,NA,FALSE,TRUE,"Blood blacklist"
