"uniprot_id","protein","gene","description","n_seq","n_pro_seq","is_crap","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","flag_source"
"P19652","A1AG2_HUMAN","ORM2","Alpha-1-acid glycoprotein 2",10,7,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P19823","ITIH2_HUMAN","ITIH2","Inter-alpha-trypsin inhibitor heavy chain H2",18,18,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P19827","ITIH1_HUMAN","ITIH1","Inter-alpha-trypsin inhibitor heavy chain H1",17,17,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P20742","PZP_HUMAN","PZP","Pregnancy zone protein",19,19,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P20851","C4BPB_HUMAN","C4BPB","C4b-binding protein beta chain",2,2,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P22612","KAPCG_HUMAN","PRKACG","cAMP-dependent protein kinase catalytic subunit gamma",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P22676","CALB2_HUMAN","CALB2","Calretinin",5,4,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P22792","CPN2_HUMAN","CPN2","Carboxypeptidase N subunit 2",5,5,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P23083","HV102_HUMAN","IGHV1-2","Immunoglobulin heavy variable 1-2",2,1,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P23276","KELL_HUMAN","KEL","Kell blood group glycoprotein",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P23946","CMA1_HUMAN","CMA1","Chymase",9,9,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P24158","PRTN3_HUMAN","PRTN3","Myeloblastin",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P27169","PON1_HUMAN","PON1","Serum paraoxonase/arylesterase 1",7,7,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P29622","KAIN_HUMAN","SERPINA4","Kallistatin",4,4,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P30613","KPYR_HUMAN","PKLR","Pyruvate kinase PKLR",10,10,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P30711","GSTT1_HUMAN","GSTT1","Glutathione S-transferase theta-1",11,10,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P35527","K1C9_HUMAN","KRT9","Keratin, type I cytoskeletal 9",17,0,TRUE,NA,NA,FALSE,TRUE,"HPA"
"P35556","FBN2_HUMAN","FBN2","Fibrillin-2",2,2,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P35558","PCKGC_HUMAN","PCK1","Phosphoenolpyruvate carboxykinase, cytosolic [GTP]",2,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P35612","ADDB_HUMAN","ADD2","Beta-adducin",9,9,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P35858","ALS_HUMAN","IGFALS","Insulin-like growth factor-binding protein complex acid labile subunit",5,5,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P36980","FHR2_HUMAN","CFHR2","Complement factor H-related protein 2",3,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P42167","LAP2A_HUMAN","TMPO","Lamina-associated polypeptide 2, isoform alpha",3,3,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P43652","AFAM_HUMAN","AFM","Afamin",15,15,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P54108","CRIS3_HUMAN","CRISP3","Cysteine-rich secretory protein 3",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P54840","GYS2_HUMAN","GYS2","Glycogen [starch] synthase, liver",2,2,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P57721","PCBP3_HUMAN","PCBP3","Poly(rC)-binding protein 3",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P59074","CHM4P_HUMAN","CHMP4BP1","Putative charged multivesicular body protein 4B-like protein CHMP4BP1",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P69891","HBG1_HUMAN","HBG1","Hemoglobin subunit gamma-1",10,1,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P79483","DRB3_HUMAN","HLA-DRB3","HLA class II histocompatibility antigen, DR beta 3 chain",3,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P80748","LV321_HUMAN","IGLV3-21","Immunoglobulin lambda variable 3-21",4,2,FALSE,NA,NA,FALSE,TRUE,"HPA"
"Q05315","LEG10_HUMAN","CLC","Galectin-10",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q06033","ITIH3_HUMAN","ITIH3","Inter-alpha-trypsin inhibitor heavy chain H3",2,2,FALSE,NA,NA,FALSE,TRUE,"HPA"
"Q13509","TBB3_HUMAN","TUBB3","Tubulin beta-3 chain",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q13576","IQGA2_HUMAN","IQGAP2","Ras GTPase-activating-like protein IQGAP2",3,3,FALSE,NA,NA,FALSE,FALSE,"HPA"
